Alt,Direction,Endpoint,INPacketCountArgument,NominalBytesPerInterval,TotalLength,Category,FailedAt,DeviceSpeed,Win32Error,UsbdStatus,BytesTransferred,Result
6,OUT,0x03,N/A,0,0,zero,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
6,OUT,0x03,N/A,63,126,exact,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,31,62,sub,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,64,128,oversize,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,0,0,zero,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
6,OUT,0x03,N/A,63,252,exact,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,31,124,sub,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,64,256,oversize,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,0,0,zero,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
6,OUT,0x03,N/A,63,504,exact,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,31,248,sub,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,64,512,oversize,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,0,0,zero,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
6,OUT,0x03,N/A,63,630,exact,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,31,310,sub,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,64,640,oversize,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,0,0,zero,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
